"구분별","상태별","시점","인원[명]",
"전체","신규","2020. 08. 16","279",
"전체","신규","2020. 08. 17","197",
"전체","신규","2020. 08. 18","246",
"전체","신규","2020. 08. 19","297",
"전체","신규","2020. 08. 20","288",
"전체","신규","2020. 08. 21","324",
"전체","신규","2020. 08. 22","332",
"전체","신규","2020. 08. 23","397",
"전체","신규","2020. 08. 24","266",
"전체","신규","2020. 08. 25","280",
"전체","신규","2020. 08. 26","320",
"전체","신규","2020. 08. 27","441",
"전체","신규","2020. 08. 28","371",
"전체","신규","2020. 08. 29","323",
"전체","신규","2020. 08. 30","299",
"전체","신규","2020. 08. 31","248",
"전체","신규","2020. 09. 01","235",
"전체","신규","2020. 09. 02","267",
"전체","신규","2020. 09. 03","195",
"전체","신규","2020. 09. 04","198",
"전체","신규","2020. 09. 05","168",
"전체","신규","2020. 09. 06","167",
"전체","신규","2020. 09. 07","119",
"전체","신규","2020. 09. 08","136",
"전체","신규","2020. 09. 09","156",
"전체","신규","2020. 09. 10","155",
"전체","신규","2020. 09. 11","176",
"전체","신규","2020. 09. 12","136",
"전체","신규","2020. 09. 13","121",
"전체","신규","2020. 09. 14","109",
"전체","신규","2020. 09. 15","106",
"전체","신규","2020. 09. 16","113",
"전체","신규","2020. 09. 17","153",
"전체","신규","2020. 09. 18","126",
"전체","신규","2020. 09. 19","110",
"전체","신규","2020. 09. 20","82",
"전체","신규","2020. 09. 21","70",
"전체","신규","2020. 09. 22","61",
"전체","신규","2020. 09. 23","110",
"전체","신규","2020. 09. 24","125",
"전체","신규","2020. 09. 25","114",
"전체","신규","2020. 09. 26","61",
"전체","신규","2020. 09. 27","95",
"전체","신규","2020. 09. 28","50",
"전체","신규","2020. 09. 29","38",
"전체","신규","2020. 09. 30","113",
"전체","신규","2020. 10. 01","77",
"전체","신규","2020. 10. 02","63",
"전체","신규","2020. 10. 03","75",
"전체","신규","2020. 10. 04","64",
"전체","신규","2020. 10. 05","73",
"전체","신규","2020. 10. 06","75",
"전체","신규","2020. 10. 07","114",
"전체","신규","2020. 10. 08","69",
"전체","신규","2020. 10. 09","54",
"전체","신규","2020. 10. 10","72",
"전체","신규","2020. 10. 11","58",
